"Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP"
",""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce"",""Delete Cached Update Binary"",enabled,""Logon"",System-wide,"""","""",""File not found: del"",,""C:\Windows\system32\cmd.exe /q /c del /q """"C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe"""""",,,,,,"
",""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce"",""Delete Cached Standalone Update Binary"",enabled,""Logon"",System-wide,"""","""",""File not found: del"",,""C:\Windows\system32\cmd.exe /q /c del /q """"C:\Program Files\Microsoft OneDrive\StandaloneUpdater\OneDriveSetup.exe"""""",,,,,,"
"15/8/2025 3:49 am,""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce"",""msedge_cleanup_{F3017226-FE2A-4295-8BDF-00C3A9A7E4C5}"",enabled,""Logon"",System-wide,""Microsoft Edge Installer"",""Microsoft Corporation"",""c:\program files (x86)\microsoft\edgewebview\application\139.0.3405.102\installer\setup.exe"",139.0.3405.102,""""""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\Installer\setup.exe"""" --msedgewebview --delete-old-versions --system-level --verbose-logging --on-logon"",100FE2A3B8BE202CE3594FBB84C2DE1D,0E71E5FC558D0489C64F745E60D68C635A3ACC80,1097B4E6B17BE9F25AD90D624DA512E460D93F62,A3EC6B28EAF7CA09851BAD81081D7A07D5B11689E8F85049CFF24C7654E54560,116DE9B0985A9273C5CB108A95A49561D5C4DB20DC24FDE42FDB228C6A70021F,FEAAA161935B3C215BB6530DC11DB019"
"1/8/2025 4:09 pm,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,""Logon"",System-wide,,,,,,,,,,,"
"5/12/1967 4:19 am,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Microsoft Windows Media Player"",enabled,""Logon"",System-wide,""Microsoft Windows Media Player Legacy Setup Utility"",""Microsoft Corporation"",""c:\windows\system32\unregmp2.exe"",12.0.22621.1,""%SystemRoot%\system32\unregmp2.exe /ShowWMP"",3954B2E1238D0093679C79B2D2DBB629,A3683B77615230230D4F6AF406DF9C3BFEDEA5CE,6479C07DBD2E9B2B0CE86993686FF96CEAE58EB7,A44E6FF851832A8617C69DD859CD193F3A20C628C4780F5F6F40D316792B2D7C,35D6B2084E1976545007C081BA6CF4C79CBBC40ACAC0DF2DDCC3319B1D1A397E,C1F39D97B4555756CEFAC754B60CF093"
"9/3/1944 5:19 am,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Themes Setup"",enabled,""Logon"",System-wide,""Windows Theme API"",""Microsoft Corporation"",""c:\windows\system32\themeui.dll"",10.0.22621.5262,""themeui.dll"",A66ABB44481863F2517EA92AEC63A92A,7D1675A00EEA94377FBF7F8548903836989AA2C8,4715C9542CE99FEBA704BE267592C71519BA48D2,02F9AD4C01FC7E5C3403A45375B5B7E2196028ED152F7FAE38871222F1BD5A21,57DFCFD3949A18B13556EC99B4C34FD93685F33C93254CE3938DB7DE904688B2,59AAE35BA53D96E4AF2C36F82DBAFCEC"
"5/12/1967 4:19 am,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Microsoft Windows Media Player"",enabled,""Logon"",System-wide,""Microsoft Windows Media Player Legacy Setup Utility"",""Microsoft Corporation"",""c:\windows\system32\unregmp2.exe"",12.0.22621.1,""%SystemRoot%\system32\unregmp2.exe /FirstLogon"",3954B2E1238D0093679C79B2D2DBB629,A3683B77615230230D4F6AF406DF9C3BFEDEA5CE,6479C07DBD2E9B2B0CE86993686FF96CEAE58EB7,A44E6FF851832A8617C69DD859CD193F3A20C628C4780F5F6F40D316792B2D7C,35D6B2084E1976545007C081BA6CF4C79CBBC40ACAC0DF2DDCC3319B1D1A397E,C1F39D97B4555756CEFAC754B60CF093"
"5/9/1966 2:00 am,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Windows Desktop Update"",enabled,""Logon"",System-wide,""Windows Shell Common Dll"",""Microsoft Corporation"",""c:\windows\system32\shell32.dll"",10.0.22621.5331,""shell32.dll"",EAF7E4DD68B8321ADFD92A39BB2356B7,C32B37244C3A7FB7E3B0284E95213B45B839EBCD,A1832E846192F2BD14F7AE17741E97AA0F3B9E80,B490A4E713C8085874FA90DC06EF99569D814B9F31E41F96AF39FF233A5E4D1C,7240D1469A2E80F9FBF2D7B262F235CEC1BD3CCA867F6108B68EE60133D7B563,FF560F09E0E41D8E9C5B1B86DD40F61C"
"22/3/1986 3:45 pm,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Web Platform Customizations"",enabled,""Logon"",System-wide,""IE Per-User Initialization Utility"",""Microsoft Corporation"",""c:\windows\system32\ie4uinit.exe"",11.0.22621.5262,""C:\Windows\System32\ie4uinit.exe -UserConfig"",CAEC2DFCB872C859640633CA75035DD1,415B71166E70B3422180A6B632ABAD6673CADD34,AC48F9217823DC62981ED2C925E255E3A44A3C7E,B9E73ADE56B992C77C41CBECD931B0D6CC952D16F55C3EB0070F2C875FB5467E,8CA2B308229FAF07D71D6530E14A318486A7EE6A94ABEFB56D53D6F101BAFCB6,65D99E4356D5139D31C3A6E8825C5F66"
"4/5/2021 12:13 pm,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""n/a"",enabled,""Logon"",System-wide,""Microsoft .NET IE SECURITY REGISTRATION"",""Microsoft Corporation"",""c:\windows\system32\mscories.dll"",2.0.50727.9157,""C:\Windows\System32\Rundll32.exe C:\Windows\System32\mscories.dll,Install"",E5CC59F160E63421A3FADD5D76D154DB,77DE12B395FC884DFDB8670101DB6593776B4CF1,52E43925EB0413AF800E276C8572EAD762E2F190,FEE8611E65296862FACEA47BC8F3732074C98401010ECF4D11A0E0B2C762E1BA,DC19265881C3D00F2C519C53FC64CF6DD072A870672ECD30A028D875EAB6D7CB,AB8FA7A93A14C9EDE0B84EB9ECAFBAC2"
